# Constructed from biom file
#OTU ID	C/0	C/30	C/112	LB/30	LB/112	LH + LB/30	LH + LB/112	LH/112
k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified	0.0335264714752	0.0339698046181	0.0219438532999	0.0499819612508	0.0244946049857	0.0350472295258	0.0269651300236	0.0383794981969
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Alnicola	5.13323965171e-05	0.0	0.00154193161979	3.9002700937e-05	0.0	0.0	0.00113981762918	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe	0.0	0.0	0.0	0.000165761478982	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius	6.41654956464e-06	0.000851095322676	0.0	8.77560771083e-05	0.00700731737567	0.000847210049664	0.00281788247214	0.00135041816926
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Crepidotus	3.20827478232e-05	0.00104845075982	0.0	0.0	0.0	0.000165546791314	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Inocybe	0.0	0.00097444247089	0.00112140481439	2.92520257028e-05	0.0	0.0	0.000992063492063	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Armillaria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Flammulina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Gymnopus	0.000372159874749	0.0	0.0	0.000497284436947	0.0	0.000233713117149	0.00210021952043	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Marasmius	0.0	0.0	0.0	8.77560771083e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Xeromphalina	0.0	0.0	0.0	0.0	0.0	0.000146070698218	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__unidentified	0.0	0.0	0.0	4.87533761713e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Pholiota	0.0	0.0	0.0	0.0	0.0	0.000175284837862	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Cystoderma	0.0	0.0	0.000764594191633	0.0	0.0186655091157	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Melanoleuca	0.0	0.0	0.0	1.95013504685e-05	0.0	3.89521861914e-05	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma	8.34151443403e-05	0.0	0.0	0.0	0.0	0.000282403349888	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Athelia	0.0	0.0	0.0	0.000165761478982	0.0	0.0	0.000949848024316	0.00644517762603
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__unidentified	0.0	0.0	0.0	0.000117008102811	0.0	0.0	0.00487588652482	0.00606153610067
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Paxillaceae;g__Paxillus	0.0	0.0	0.00086654008385	0.000126758778045	0.0	4.86902327393e-05	0.0	0.00546305532111
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Suillaceae;g__Suillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136576383028
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__unidentified	0.0	0.0	0.0	3.9002700937e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__Clavulina	0.0	0.000777087033748	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Waitea	5.13323965171e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__unidentified	0.0	0.0	0.0	7.80054018741e-05	0.0	0.0	0.0	0.0
