"study"	"domain"	"ID"	"key"	"avg_sequence_length.initial"	"Total.Sequences.initial"	"avg_sequence_length.flashed"	"Total.Sequences.flashed"	"flash.pct.calc"	"Total.Sequences.picked"	"pick.pct.calc"
"lalstress"	"bacteria"	"158"	"lalstress.bacteria.158"	250.981865438	33858	411.982325275	33381	0.985911749069644	28437	0.851891794733531
"lalstress"	"bacteria"	"160"	"lalstress.bacteria.160"	250.9925203445	16712	412.905694706	16489	0.986656294877932	14497	0.879192188731882
"lalstress"	"bacteria"	"161"	"lalstress.bacteria.161"	250.983230792	48273	411.960750639	47746	0.989082924201935	42000	0.879654840196037
"lalstress"	"bacteria"	"162"	"lalstress.bacteria.162"	250.992987812	41927	412.915248107	41474	0.989195506475541	36893	0.889545257269615
"lalstress"	"bacteria"	"163"	"lalstress.bacteria.163"	250.993173237	45556	411.982554268	45054	0.988980595311265	39863	0.884782705198207
"lalstress"	"bacteria"	"165"	"lalstress.bacteria.165"	250.991189179	53230	413.955047199	52544	0.987112530527898	45550	0.866892509135201
"lalstress"	"bacteria"	"166"	"lalstress.bacteria.166"	250.984689976	57544	412.808067103	56749	0.986184484915891	48700	0.858164901584169
"lalstress"	"bacteria"	"167"	"lalstress.bacteria.167"	250.4905120235	55017	411.985214955	54244	0.985949797335369	47198	0.870105449450631
"lalstress"	"bacteria"	"168"	"lalstress.bacteria.168"	250.990079771	63557	411.982600645	62646	0.9856664096795	54039	0.862608945503304
"lalstress"	"bacteria"	"170"	"lalstress.bacteria.170"	250.990302515	59964	412.905208616	59056	0.984857581215396	51405	0.870445001354646
"lalstress"	"bacteria"	"171"	"lalstress.bacteria.171"	250.9896586165	55070	411.986357435	54242	0.984964590521155	47125	0.868791711220088
"lalstress"	"bacteria"	"172"	"lalstress.bacteria.172"	250.9902234925	48995	411.979090909	48400	0.987855903663639	42025	0.868285123966942
"lalstress"	"bacteria"	"173"	"lalstress.bacteria.173"	250.9900687315	48886	411.989832548	48193	0.985824162336865	41902	0.869462370053742
